AE2592,11-18-24-0100-001-00800,,,
AN2592,"https://www.zillow.com/homes/4110-ELM-ST_Lady-Lake,-FL32159_rb",,,
K2592,"=HYPERLINK(""https://www.zillow.com/homes/4110-ELM-ST_Lady-Lake,-FL32159_rb"", ""<<Click>>"")",,,
`2592,SINGLE FAMILY (0100),,,
AN2592,"https://www.zillow.com/homes/4110-ELM-ST_Lady-Lake,-FL32159_rb",,,
V2592,4110 ELM ST,,,
W2592,"Lady Lake FL, 32159",,,
V2586,11819 KEATS DR,,,
W2586,"Leesburg FL, 34788",,,
AE2586,01-19-25-0150-000-02800,,,
AN2586,"https://www.zillow.com/homes/11819-KEATS-DR_Leesburg,-FL34788_rb",,,
K2586,"=HYPERLINK(""https://www.zillow.com/homes/11819-KEATS-DR_Leesburg,-FL34788_rb"", ""<<Click>>"")",,,
`2586,MANUFACTURED HOME IN SUB (0200),,,
AN2586,"https://www.zillow.com/homes/11819-KEATS-DR_Leesburg,-FL34788_rb",,,
V2586,11819 KEATS DR,,,
W2586,"Leesburg FL, 34788",,,
V2587,42638 DOGWOOD AVE,,,
W2587,"Eustis FL, 32726",,,
AE2587,33-17-29-0002-000-08900,,,
AN2587,"https://www.zillow.com/homes/42638-DOGWOOD-AVE_Eustis,-FL32726_rb",,,
K2587,"=HYPERLINK(""https://www.zillow.com/homes/42638-DOGWOOD-AVE_Eustis,-FL32726_rb"", ""<<Click>>"")",,,
`2587,MANUFACTURED HOME (0230),,,
AN2587,"https://www.zillow.com/homes/42638-DOGWOOD-AVE_Eustis,-FL32726_rb",,,
V2590,25815 EXMOOR DR,,,
W2590,"Mount Plymouth FL, 32776",,,
AE2590,28-19-28-0100-043-03500,,,
AO2590,"https://www.zillow.com/homes/25815-EXMOOR-DR_Mount-Plymouth,-FL32776_rb",,,
K2590,"=HYPERLINK(""https://www.zillow.com/homes/25815-EXMOOR-DR_Mount-Plymouth,-FL32776_rb"", ""<<Click>>"")",,,
`2590,SINGLE FAMILY (0100),,,
AO2590,"https://www.zillow.com/homes/25815-EXMOOR-DR_Mount-Plymouth,-FL32776_rb",,,
V2590,25815 EXMOOR DR,,,
W2590,"Mount Plymouth FL, 32776",,,
V2591,5121 RIVER EDGE LN,,,
W2591,"Leesburg FL, 34748",,,
AE2591,13-20-24-0100-000-04100,,,
AO2591,"https://www.zillow.com/homes/5121-RIVER-EDGE-LN_Leesburg,-FL34748_rb",,,
K2591,"=HYPERLINK(""https://www.zillow.com/homes/5121-RIVER-EDGE-LN_Leesburg,-FL34748_rb"", ""<<Click>>"")",,,
`2591,SINGLE FAMILY (0100),,,
AO2591,"https://www.zillow.com/homes/5121-RIVER-EDGE-LN_Leesburg,-FL34748_rb",,,
